url,brandName,industry,country
https://www.bnext.com.tw,Bank Next,finance,TW
https://www.richart.tw,Richart台新數位銀行,finance,TW
https://www.o-bank.com,王道銀行,finance,TW
https://www.landbank.com.tw,土地銀行,finance,TW
https://www.bot.com.tw,台灣銀行,finance,TW
https://www.tcb-bank.com.tw,合作金庫,finance,TW
https://www.scsb.com.tw,上海商銀,finance,TW
https://www.hncb.com.tw,華南銀行,finance,TW
https://www.chinatrust.com.tw,中國信託證券,finance,TW
https://www.moneydj.com,MoneyDJ理財網,finance,TW
https://www.wantgoo.com,玩股網,finance,TW
https://www.stockfeel.com.tw,股感,finance,TW
https://www.fugle.tw,富果,finance,TW
https://www.cathaysec.com.tw,國泰證券,finance,TW
https://www.emega.com.tw,兆豐證券,finance,TW
