url,brandName,industry,country
https://www.ntuh.gov.tw,台大醫院,healthcare,TW
https://www.vghtpe.gov.tw,台北榮總,healthcare,TW
https://www1.cgmh.org.tw,長庚醫院,healthcare,TW
https://www.mmh.org.tw,馬偕醫院,healthcare,TW
https://www.chimei.org.tw,奇美醫院,healthcare,TW
https://www.kmuh.org.tw,高雄醫學大學附設醫院,healthcare,TW
https://www.tzuchi.com.tw,慈濟醫院,healthcare,TW
https://www.vghks.gov.tw,高雄榮總,healthcare,TW
https://www.shh.org.tw,秀傳醫療,healthcare,TW
https://www.ntu.edu.tw,台灣大學,education,TW
https://www.nthu.edu.tw,清華大學,education,TW
https://www.nctu.edu.tw,陽明交通大學,education,TW
https://www.ncu.edu.tw,中央大學,education,TW
https://www.ncku.edu.tw,成功大學,education,TW
https://www.ntu.edu.tw,台灣師範大學,education,TW
