url,brandName,industry,country
https://www.dintaifung.com.tw,鼎泰豐,restaurant,TW
https://www.wowprime.com,王品集團,restaurant,TW
https://www.mos.com.tw,摩斯漢堡,restaurant,TW
https://www.subway.com.tw,Subway潛艇堡,restaurant,TW
https://www.sushiexpress.com.tw,爭鮮迴轉壽司,restaurant,TW
https://www.formosa-chang.com.tw,鬍鬚張魯肉飯,restaurant,TW
https://www.barista.com.tw,西雅圖極品咖啡,restaurant,TW
https://www.matsuking.com.tw,松王早餐,restaurant,TW
https://www.ikari.com.tw,怡客咖啡,restaurant,TW
https://www.noodlemix.com.tw,麵屋壹慶,restaurant,TW
https://www.sukiya.tw,すき家Sukiya,restaurant,TW
https://www.tamoya.com.tw,丸亀製麺台灣,restaurant,TW
